User_id,employment_type,tier_of_employment,industry,role,work_experience,total_income,gender,married,dependents,home_type,pincode,has_social_profile,is_verified,delinq_2yrs,total_payement,received_principal,interest_received,number_of_loans,emi_1_dpd,emi_2_dpd,emi_3_dpd,emi_4_dpd,emi_5_dpd,emi_6_dpd,max_dpd,yearmo
7014271,,,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhjUz4osbQwvf7KWI4Sha3b9XDuSm2sN4V65ZTCfqLqkU=,KHMbckjadbckIFGCOSEWdkcndwkcnCCM,10+,110000.0,Other,Yes,3,mortgage,XX812X,,Not Verified,0,9434.42,7199.99,2234.43,0,0,0,0,0,0,0,0,202202
7014024,Salaried,C,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhWMx0qCk7dFrA+kpK2w8jBQx3+zp3noJPRKeQTzMEBX8=,KHMbckjadbckIFGTXSEWdkcndwkcnCCM,<1,39550.0,Other,Yes,3,own,XX750X,No,,0,8623.02607442,7200.0,1423.03,0,30,0,0,0,0,0,30,202204
7022206,Self - Employeed,D,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIheJFGmlf43aGCzdWIKjxraZGhiopw+IXOH1KB8asr1hY=,KHMbckjadbckIFGVASEWdkcndwkcnCCM,10+,75000.0,Other,Yes,3,mortgage,XX238X,Yes,Not Verified,0,40697.29,30812.08,9885.21,0,0,0,0,0,30,0,30,202203
6882081,Self - Employeed,C,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGTZM1+LCsgQMV9aa4h1L4/Btjm0vbarWwKSl/JRpLllGr75AGzdAhCmQdoG3B5X6k=,KHMbckjadbckIFGDESEWdkcndwkcnCCM,5-10,55000.0,Other,,0,rent,XX199X,No,Not Verified,0,20172.1,18225.0,1947.1,0,0,0,0,0,0,0,0,202202
7032804,,,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhlfLZKgBl7eVUGwjQP3q3uUNGz3KBMEyZY6bOzLDMvKY=,KHMbckjadbckIFGWASEWdkcndwkcnCCM,10+,43000.0,Male,Yes,3,rent,XX980X,No,Not Verified,0,15614.51,12552.41,3062.1,0,0,0,0,0,0,0,0,202204
7013021,,,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIY4pFNQrSRW+A8F+F9Kv550=,KHMbckjadbckIFGMASEWdkcndwkcnCCM,<1,80000.0,Male,Yes,0,mortgage,XX21X,No,Source Verified,0,2873.85992412,2600.0,273.86,0,0,0,0,0,0,0,0,202204
7032175,Salaried,B,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZTPtauEI0SkDbn8tDAkC4Y=,KHMbckjadbckIFGFLSEWdkcndwkcnCCM,5-10,43000.0,Male,Yes,4,mortgage,XX322X,No,Verified,0,19841.6415993,16000.0,3841.64,0,0,0,0,0,0,0,0,202201
7012274,Self - Employeed,B,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZZxo4UWB/DXZO1mgGafQrI=,KHMbckjadbckIFGNYSEWdkcndwkcnCCM,5-10,59364.0,Female,Yes,0,rent,XX109X,No,Not Verified,0,30751.85,25000.0,5751.85,0,0,0,0,30,0,0,30,202203
7031808,Salaried,B,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhoq/ZXp+QuKPsloIPjXIBjdCnRKNBNy8NQbpl+fIsVjU=,KHMbckjadbckIFGNVSEWdkcndwkcnCCM,5-10,94000.0,Other,,0,rent,XX895X,,Not Verified,0,31587.0830821,26000.0,5587.08,0,0,0,0,0,0,0,0,202203
7011792,,,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSISNc69kc+BbC2O0BB2RuiSQ=,KHMbckjadbckIFGNVSEWdkcndwkcnCCM,10+,140000.0,Female,Yes,1,mortgage,XX894X,No,Source Verified,0,11010.44,5167.04,2631.2,0,90,90,90,90,90,90,90,202205
