feature,auc,gini_abs
received_principal,0.24981325769215126,0.5003734846156975
interest_received_ratio,0.6953312277957481,0.39066245559149615
total_payement,0.33715990543405777,0.32568018913188446
total_income,0.4397356570719958,0.1205286858560084
interest_received,0.4781380877051764,0.04372382458964719
delinq_2yrs,0.48993167587944386,0.020136648241112276
dependents,0.49919446951940033,0.0016110609611993398
total_payement_per_loan,0.49940989165463656,0.0011802166907268763
number_of_loans,0.4994124354133662,0.001175129173267564
delinq_2yrs_ratio,0.4998154802050469,0.0003690395899061949
