b,n,actual,predicted
0,2873,0.0003480682213713888,0.00042135441237198197
1,2873,0.0006961364427427776,0.0020453756266886323
2,2872,0.0017409470752089136,0.004793661999669528
3,2873,0.007309432648799165,0.007876960373871412
4,2873,0.00870170553428472,0.011481731777290609
5,2872,0.008356545961002786,0.01706003839101918
6,2873,0.01740341106856944,0.02688913148402985
7,2872,0.034122562674094706,0.04775073497420099
8,2873,0.09189001044204664,0.11832152395844606
9,2873,0.7375565610859729,0.7234597053867508
