b,n,actual,predicted
0,8625,0.00011594202898550724,0.000454207677815966
1,8625,0.00046376811594202896,0.002255864116026465
2,8625,0.002434782608695652,0.00509956851387684
3,8625,0.002318840579710145,0.008120834339308006
4,8625,0.004057971014492754,0.011803790201288864
5,8625,0.008463768115942029,0.017586203471312848
6,8625,0.013797101449275363,0.027815480418248727
7,8625,0.035594202898550725,0.049377335674539266
8,8625,0.10144927536231885,0.1266784808893908
9,8625,0.7647536231884058,0.7452894777966173
