decile,n,bads,min_score,max_score,avg_score,goods,bad_rate,cum_bad_capture,cum_pop,lift
1,2873,2119,0.23432358025141248,0.9999294018886004,0.7234597053867508,754,0.7375565610859729,0.8121885779992334,0.10001044313711839,8.121037688891048
2,2873,264,0.06655144956172697,0.23416533109610402,0.11832152395844606,2609,0.09189001044204664,0.9133767727098505,0.20002088627423678,1.0117762859213009
3,2872,98,0.034543822231911596,0.0665436509428922,0.04775073497420099,2774,0.034122562674094706,0.9509390571100038,0.29999651895429386,0.3757143955303636
4,2873,50,0.02097801990283245,0.03454282329697033,0.02688913148402985,2823,0.01740341106856944,0.9701034879264085,0.40000696209141223,0.19162429657600394
5,2873,24,0.013796049014230741,0.020967662963838278,0.017058902300042224,2849,0.008353637312913331,0.9793024147182828,0.5000174052285307,0.0919796623564819
6,2872,25,0.009515635621473383,0.013794527317567452,0.011480925956525657,2847,0.008704735376044569,0.9888846301264852,0.5999930379085877,0.09584550906386828
7,2873,21,0.006316324713356579,0.009515491628347151,0.007876960373871412,2852,0.007309432648799165,0.9969336910693752,0.7000034810457061,0.08048220456192166
8,2872,5,0.00332118066348088,0.006314058284185306,0.004793661999669528,2867,0.0017409470752089136,0.9988501341510158,0.7999791137257632,0.019169101812773655
9,2873,2,0.0009218129619182693,0.00332044257974735,0.0020453756266886323,2871,0.0006961364427427776,0.9996167113836719,0.8999895568628816,0.007664971863040159
10,2873,1,3.594226828102969e-05,0.0009215452682115422,0.00042135441237198197,2872,0.0003480682213713888,1.0,1.0,0.0038324859315200794
