decile,n,bads,min_score,max_score,avg_score,goods,bad_rate,cum_bad_capture,cum_pop,lift
1,8625,6596,0.25902723627571783,0.999965306572072,0.7452894777966173,2029,0.7647536231884058,0.8192771084337349,0.1,8.192771084337348
2,8625,875,0.0684550468745498,0.25879311262335924,0.1266784808893908,7750,0.10144927536231885,0.9279592597192895,0.2,1.0868215128555458
3,8625,307,0.03570524512109482,0.06845205692322132,0.049377335674539266,8318,0.035594202898550725,0.966091168798907,0.3,0.3813190907961744
4,8625,119,0.021684739812920014,0.03569882363791849,0.027815480418248727,8506,0.013797101449275363,0.9808719413737423,0.4,0.14780772574835424
5,8625,73,0.01418417057706418,0.021684195779164906,0.017586203471312848,8552,0.008463768115942029,0.9899391379952801,0.5,0.09067196621537696
6,8625,35,0.009744059431146779,0.014182982757270743,0.011803790201288864,8590,0.004057971014492754,0.9942864240467023,0.6,0.043472860514221834
7,8625,20,0.006564518412444434,0.009743776094384614,0.008120834339308006,8605,0.002318840579710145,0.9967705875046579,0.7,0.024841634579555332
8,8625,21,0.0036183809642924285,0.006564451508106723,0.00509956851387684,8604,0.002434782608695652,0.9993789591355111,0.8,0.026083716308533098
9,8625,4,0.0010136184550649566,0.003618298933270915,0.002255864116026465,8621,0.00046376811594202896,0.9998757918271022,0.9,0.004968326915911067
10,8625,1,2.6394406469801246e-05,0.0010134841624056623,0.000454207677815966,8624,0.00011594202898550724,1.0,1.0,0.0012420817289777667
