b,n,actual,predicted
0,2873,0.0003480682213713888,0.00027889080969665473
1,2873,0.0003480682213713888,0.0012184359205726063
2,2872,0.00383008356545961,0.0030877844975503083
3,2873,0.006613296206056387,0.005793832063029161
4,2873,0.012530455969369997,0.010017931968096831
5,2872,0.015668523676880222,0.01653191584604328
6,2873,0.027845457709711103,0.026550844675302714
7,2872,0.052924791086350974,0.04448326330622099
8,2873,0.09223807866341803,0.08753782664020501
9,2873,0.6957883745214062,0.5823267378554406
