b,n,actual,predicted
0,8625,0.00011594202898550724,0.0002918695940982879
1,8625,0.0008115942028985507,0.0013191229169230848
2,8625,0.0017391304347826088,0.003283490954527692
3,8625,0.0030144927536231883,0.005976660666897374
4,8625,0.007420289855072463,0.010192041010294696
5,8625,0.01182608695652174,0.01698934372996421
6,8625,0.025275362318840578,0.02698344036716978
7,8625,0.04336231884057971,0.044427682723865866
8,8625,0.10457971014492753,0.09039296624406312
9,8625,0.735304347826087,0.6086938667822818
