decile,n,bads,min_score,max_score,avg_score,goods,bad_rate,cum_bad_capture,cum_pop,lift
1,2873,1999,0.14207216082671822,0.9999999572434641,0.5823267378554406,874,0.6957883745214062,0.766193944039862,0.10001044313711839,7.661139377108638
2,2873,265,0.057951204654719424,0.1418480127548445,0.08753782664020501,2608,0.09223807866341803,0.8677654273668072,0.20002088627423678,1.015608771852821
3,2872,152,0.03359953755102059,0.057920717890086904,0.04448326330622099,2720,0.052924791086350974,0.9260252970486776,0.29999651895429386,0.582740695108319
4,2873,80,0.020666022998010625,0.03359704515702787,0.026550844675302714,2793,0.027845457709711103,0.9566883863549253,0.40000696209141223,0.30659887452160633
5,2873,45,0.012834910593072863,0.020665660135796265,0.01653062903600048,2828,0.015663069961712496,0.9739363740896896,0.5000174052285307,0.17246186691840357
6,2872,36,0.00762668279495504,0.012834565390001705,0.010016951125957215,2836,0.012534818941504178,0.987734764277501,0.5999930379085877,0.13801753305197031
7,2873,19,0.004271688858164297,0.0076265524831040385,0.005793832063029161,2854,0.006613296206056387,0.9950172479877347,0.7000034810457061,0.0728172326988815
8,2872,11,0.00202685005722915,0.004271393736774047,0.0030877844975503083,2861,0.00383008356545961,0.9992334227673438,0.7999791137257632,0.04217202398810204
9,2873,1,0.0006133938999154477,0.0020268158562068437,0.0012184359205726063,2872,0.0003480682213713888,0.9996167113836719,0.8999895568628816,0.0038324859315200794
10,2873,1,1.0234845608174283e-05,0.0006132716171050491,0.00027889080969665473,2872,0.0003480682213713888,1.0,1.0,0.0038324859315200794
