decile,n,bads,min_score,max_score,avg_score,goods,bad_rate,cum_bad_capture,cum_pop,lift
1,8625,6342,0.15235575110660418,0.9999999859931614,0.6086938667822818,2283,0.735304347826087,0.7877282325176996,0.1,7.877282325176997
2,8625,902,0.05828964311830233,0.1523300996404446,0.09039296624406312,7723,0.10457971014492753,0.8997640044714942,0.2,1.1203577195379455
3,8625,374,0.03370837230661279,0.05827463889193441,0.044427682723865866,8251,0.04336231884057971,0.9462178611352627,0.3,0.4645385666376847
4,8625,218,0.021345026218579675,0.033704682427068325,0.02698344036716978,8407,0.025275362318840578,0.973295242826978,0.4,0.27077381691715313
5,8625,102,0.013090237399170585,0.021344332061221872,0.01698934372996421,8523,0.01182608695652174,0.9859644764625513,0.5,0.1266923363557322
6,8625,64,0.007733084839255616,0.013090214262179626,0.010192041010294696,8561,0.007420289855072463,0.993913799528009,0.6,0.07949323065457707
7,8625,26,0.00446219976144612,0.0077325305075460005,0.005976660666897374,8599,0.0030144927536231883,0.9971432120233511,0.7,0.03229412495342193
8,8625,15,0.002202909616513611,0.0044620674407388,0.003283490954527692,8610,0.0017391304347826088,0.9990063346168178,0.8,0.0186312259346665
9,8625,7,0.000636383929407191,0.002202880853774587,0.0013191229169230848,8618,0.0008115942028985507,0.9998757918271022,0.9,0.008694572102844368
10,8625,1,8.349301499258445e-06,0.0006362410580460343,0.0002918695940982879,8624,0.00011594202898550724,1.0,1.0,0.0012420817289777667
