feature,split,gain,gain_pct
received_principal,13557,331667.7660204023,36.38771365955961
interest_received_ratio,11543,191493.41264291108,21.008998102376662
total_payement,11531,164473.26188617945,18.04458126871426
interest_received,6608,70751.68948602676,7.7622623652527265
industry,1851,60616.016933918,6.650264190095409
total_income,5409,26349.1485979259,2.8908002904796457
work_experience,816,19669.292471542954,2.1579443517480965
employment_type,758,18391.35129880905,2.0177397185841293
tier_of_employment,2611,16130.016791135073,1.7696456890043593
delinq_2yrs,558,2738.0647148787975,0.3003967374394309
role,753,2733.161588817835,0.2998588089295737
dependents,926,1908.3160242140293,0.20936390018913628
home_type,592,1573.0114456117153,0.17257718696307692
is_verified,630,1205.0719017088413,0.1322100480993528
has_social_profile,462,892.3610195815563,0.09790211949475038
married,443,890.8975753188133,0.0977415630697822
total_payement_per_loan,0,0.0,0.0
number_of_loans,0,0.0,0.0
delinq_2yrs_ratio,0,0.0,0.0
