approval_rate,n_approved,cutoff_score,bad_rate_of_approved,bads_avoided
0.05,1330,0.030456852791878174,0.030827067669172932,2277
0.1,2661,0.044134288947566956,0.030815482901164974,2236
0.15,3991,0.044134288947566956,0.04234527687296417,2149
0.2,5321,0.05902192242833053,0.04266115391843638,2091
0.25,6652,0.06332046332046332,0.04660252555622369,2008
0.3,7982,0.0741106719367589,0.04735655224254573,1940
0.35,9312,0.07414187643020595,0.048646907216494846,1865
0.39999999999999997,10643,0.07414187643020595,0.051301324814432024,1772
0.44999999999999996,11973,0.07611759967780911,0.052618391380606366,1688
0.49999999999999994,13303,0.08608179419525067,0.05570172141622191,1577
0.5499999999999999,14634,0.08608179419525067,0.05664889982233156,1489
0.6,15964,0.08608179419525067,0.06026058631921824,1356
0.65,17295,0.0964660936007641,0.06169413125180688,1251
0.7,18625,0.09899458623356536,0.06297986577181208,1145
0.75,19955,0.12077870480731029,0.06614883487847657,998
0.7999999999999999,21286,0.12637362637362634,0.06891853800620126,851
0.85,22616,0.13754940711462452,0.07158648744251857,699
0.9,23946,0.16149068322981366,0.07521089117180323,517
0.95,25277,0.20130718954248367,0.08011235510543181,293
1.0,26607,0.6754299840551807,0.08711993084526629,0
