approval_rate,n_approved,pd_cutoff,bad_rate_of_book,bads_approved,bads_declined,bad_capture_rate,goods_declined,score_cutoff,expected_loss_per_approved
0.05,1330,0.030456852791878174,0.030827067669172932,41,2277,0.9823123382226057,23000,586.9722027507974,137.05583756345177
0.1,2661,0.044134288947566956,0.030815482901164974,82,2236,0.9646246764452114,21710,575.8595979956535,198.6043002640513
0.15,3991,0.044134288947566956,0.04234527687296417,169,2149,0.9270923209663503,20467,575.8595979956535,198.6043002640513
0.2,5321,0.05902192242833053,0.04266115391843638,227,2091,0.9020707506471096,19195,567.0196421021899,265.59865092748737
0.25,6652,0.06332046332046332,0.04660252555622369,310,2008,0.8662640207075065,17947,564.859112814554,284.94208494208493
0.3,7982,0.0741106719367589,0.04735655224254573,378,1940,0.8369283865401208,16685,559.9846071477716,333.49802371541506
0.35,9312,0.07414187643020595,0.048646907216494846,453,1865,0.8045729076790337,15430,559.9714882379786,333.6384439359268
0.39999999999999997,10643,0.07414187643020595,0.051301324814432024,546,1772,0.7644521138912856,14192,559.9714882379786,333.6384439359268
0.44999999999999996,11973,0.07611759967780911,0.052618391380606366,630,1688,0.728213977566868,12946,559.1510212404005,342.529198550141
0.49999999999999994,13303,0.08608179419525067,0.05570172141622191,741,1577,0.680327868852459,11727,555.2885761827362,387.368073878628
0.5499999999999999,14634,0.08608179419525067,0.05664889982233156,829,1489,0.6423641069887834,10484,555.2885761827362,387.368073878628
0.6,15964,0.08608179419525067,0.06026058631921824,962,1356,0.5849870578084556,9287,555.2885761827362,387.368073878628
0.65,17295,0.0964660936007641,0.06169413125180688,1067,1251,0.5396893874029336,8061,551.6725740162575,434.0974212034384
0.7,18625,0.09899458623356536,0.06297986577181208,1173,1145,0.49396031061259704,6837,550.8451609953383,445.47563805104414
0.75,19955,0.12077870480731029,0.06614883487847657,1320,998,0.43054357204486626,5654,544.400080651654,543.5041716328963
0.7999999999999999,21286,0.12637362637362634,0.06891853800620126,1467,851,0.3671268334771355,4470,542.9092961890524,568.6813186813185
0.85,22616,0.13754940711462452,0.07158648744251857,1619,699,0.3015530629853322,3292,540.092714014003,618.9723320158104
0.9,23946,0.16149068322981366,0.07521089117180323,1801,517,0.22303710094909404,2144,534.6503937827002,726.7080745341616
0.95,25277,0.20130718954248367,0.08011235510543181,2025,293,0.1264020707506471,1037,526.8877167869821,905.8823529411765
1.0,26607,0.6754299840551807,0.08711993084526629,2318,0,0.0,0,465.97734626394936,3039.4349282483136
