decile,n,bads,min_score,max_score,avg_score,goods,bad_rate,cum_bad_capture,cum_pop,lift
1,2661,516,0.16149068322981366,0.6754299840551807,0.20208592643301165,2145,0.1939120631341601,0.22260569456427956,0.10001127522832337,2.2258059809364097
2,2661,339,0.12637362637362634,0.16149068322981366,0.1403996980114335,2322,0.1273957158962796,0.36885245901639346,0.20002255045664674,1.462302766545432
3,2660,295,0.09899458623356536,0.12637362637362634,0.12021662699180052,2365,0.11090225563909774,0.49611734253666956,0.2999962415905589,1.272983742790972
4,2661,232,0.08608179419525067,0.09899458623356536,0.09617734460670284,2429,0.08718526869597895,0.5962036238136325,0.40000751681888225,1.0007499759248972
5,2661,195,0.08608179419525067,0.08608179419525067,0.08608179419525067,2466,0.07328072153325817,0.680327868852459,0.5000187920472057,0.8411476090748059
6,2660,196,0.07414187643020595,0.08608179419525067,0.07615895796373731,2464,0.07368421052631578,0.7648835202761001,0.5999924831811178,0.845779029108578
7,2661,174,0.0741106719367589,0.07414187643020595,0.07413456497602341,2487,0.06538895152198422,0.8399482312338222,0.7000037584094412,0.750562481943673
8,2660,152,0.05902192242833053,0.0741106719367589,0.06356245227345488,2508,0.05714285714285714,0.9055220017256256,0.7999774495433533,0.6559102674719586
9,2661,140,0.044134288947566956,0.05902192242833053,0.04922841822413996,2521,0.05261180007515971,0.9659188955996548,0.8999887247716766,0.6039008475408862
10,2661,79,0.0,0.044134288947566956,0.029804377055268096,2582,0.029688087185268695,1.0,1.0,0.3407726211123573
