p_num_leaves,p_max_depth,p_learning_rate,p_feature_fraction,p_max_bin,p_min_data_in_leaf,p_min_data_in_bin,p_lambda_l1,p_lambda_l2,p_bagging_freq,p_pos_bagging_fraction,p_neg_bagging_fraction,p_random_seed,cv_val_auc_mean,cv_val_auc_std,cv_val_auc_min,cv_train_auc_mean,gap,mean_best_iter,score
18,3,0.008620000483824154,0.2023424373366332,80,875,55,1.0548159896786258,21.582315406596763,20,0.334393660793853,0.6469877444219001,2019,0.6262261159082393,0.007195816731220123,0.619265859071171,0.621557085251438,-0.004669030656801243,147.0,-0.6226282075426293
10,6,0.014840106618593335,0.23804893725161463,10,225,65,3.6168900093502874,4.935724301363598,20,0.4604625026356767,0.4682924183640632,2019,0.6431018442065958,0.007674644049006121,0.6359570349527545,0.6441901699200301,0.0010883257134343127,295.0,-0.6387203593253755
9,8,0.008993067038505559,0.7885074761437973,90,550,55,6.797730711591549,6.65367140910586,20,0.3764564201972691,0.8661714532181494,2019,0.640089728197165,0.009948693167941306,0.6293051598924124,0.641248596208624,0.0011588680114589245,384.0,-0.6345359476074649
19,9,0.008981674500038606,0.47485107435272134,70,100,60,1.0803578174655326,3.266138460191481,20,0.3034677629824998,0.8935624813389127,2019,0.6423129348871087,0.0054383080510945455,0.636900557163036,0.6433187374306156,0.0010058025435069062,139.0,-0.639090879589808
6,12,0.0068489858810506146,0.9079672628578128,60,500,25,15.228161636137983,35.30772867362897,20,0.13817158358033454,0.7921401132114504,2019,0.6182167015721578,0.030209074026372615,0.5765421271103538,0.6125738891300379,-0.005642812442119949,416.0,-0.6031121645589715
4,2,0.014850479999460316,0.9952587230913056,40,250,5,32.539709410943644,6.366872262392537,20,0.33696990656874737,0.9377610443931561,2019,0.6380083714104096,0.010026404958548557,0.6254566843894711,0.6356146213318806,-0.0023937500785289334,463.3333333333333,-0.6329951689311353
8,5,0.011324984146369847,0.20189873839587774,30,175,95,47.511036545678245,24.264233391781755,20,0.4934921556559322,0.2864062475882355,2019,0.5990349422320795,0.053509026746033084,0.523885593120893,0.594351616171987,-0.004683326060092585,445.3333333333333,-0.572280428859063
2,5,0.0053816930223240834,0.8243611825934627,60,350,45,22.77169328313513,11.83691750133639,20,0.2617858081496018,0.3657326572557009,2019,0.5930228518797076,0.0160654209948565,0.5775853321905068,0.5910061145953722,-0.0020167372843353792,21.666666666666668,-0.5849901413822793
22,5,0.014105650362904103,0.5651527542858329,50,475,15,15.820989078362762,7.39558281156355,20,0.1168833695377429,0.8030449077576642,2019,0.6320219644892041,0.006112454668692396,0.6240125431950319,0.626741103378695,-0.005280861110509072,173.0,-0.6289657371548579
9,6,0.010478881193661183,0.5005894933668507,30,900,35,10.40671245879286,11.585325761089809,20,0.6679587645774017,0.19963127740780567,2019,0.6348329674527945,0.011282653650585046,0.6213305654363013,0.6292007003926913,-0.005632267060103224,281.6666666666667,-0.629191640627502
11,7,0.011611556405060074,0.47683626163708137,20,525,40,33.26559961063109,37.70691103354983,20,0.30480899635497616,0.6341284605667927,2019,0.624162748269087,0.025912039810845555,0.5887756280451188,0.6209468690826702,-0.003215879186416859,532.0,-0.6112067283636642
15,5,0.010118600852735402,0.15051891626395525,80,425,70,14.611003831662195,13.099653325095195,20,0.3283710851083689,0.4334581180852718,2019,0.627493702654152,0.005917276938896777,0.6231084856628775,0.6215856292039065,-0.005908073450245577,83.33333333333333,-0.6245350641847036
15,10,0.01468241076034748,0.26055710094883056,20,375,55,30.623796906718887,8.023892084208079,20,0.9597289793306257,0.9258265817567336,2019,0.641247803846042,0.008365772991215752,0.6327965021246706,0.6380627790197883,-0.003185024826253713,214.0,-0.6370649173504341
14,6,0.011191253963403619,0.5229364411205507,80,375,65,48.584872783928354,35.95202008928944,20,0.27233920054974486,0.8687212941892121,2019,0.6292581838803613,0.009704428992202396,0.6179259681175026,0.6264131398165852,-0.002845044063776059,500.0,-0.6244059693842601
21,4,0.011695392714871376,0.5290518804126632,20,450,45,10.774249413429416,10.794838661150413,20,0.9954234823478146,0.8972981942435417,2019,0.6424243489565947,0.008684353003016305,0.6329162902099037,0.642560010074868,0.00013566111827323368,221.0,-0.63801434189595
17,9,0.014579693473167371,0.5862171438096303,30,800,50,23.170815307528287,23.677762515136518,20,0.24061329651429286,0.1305142318068488,2019,0.5877771971240612,0.062156988443826375,0.5,0.5828680452414897,-0.004909151882571461,177.33333333333334,-0.556698702902148
9,6,0.00794100826420848,0.2590125219916144,90,50,65,40.26961290875409,48.608815623263055,20,0.8189113583888779,0.7115661738744921,2019,0.6383558473845049,0.011711831397823672,0.6231743779346237,0.6347272463322932,-0.003628601052211744,969.0,-0.632499931685593
23,11,0.005162567634158453,0.10166052123721159,30,25,45,45.202601190406575,10.882415504921534,20,0.33204520259763837,0.26533121019519684,2019,0.5559258514548509,0.04105678222497662,0.5252463988920979,0.5580235064283507,0.002097654973499896,86.66666666666667,-0.5343486328556126
10,3,0.00805206033369862,0.9776856034737008,40,750,10,28.125504034251534,39.84619808919507,20,0.30507971660048916,0.7932893690838377,2019,0.6116854876586886,0.04094292109696164,0.5545881893269397,0.602272363836763,-0.009413123821925606,413.6666666666667,-0.5912140271102078
5,11,0.007072551712707216,0.821047720123765,60,450,35,23.99875178528176,18.122761495917704,20,0.9496346769406745,0.6661969669987361,2019,0.6383265818132683,0.010527590167049997,0.6251600072993614,0.6350999349227784,-0.0032266468904899037,412.0,-0.6330627867297433
19,8,0.012543091700891103,0.3802403686054819,70,150,90,4.451462269498059,0.1931767281255068,20,0.5207983372185749,0.5198349294051106,2019,0.6414209558330196,0.009654589360727646,0.6302555068088257,0.6499151340665994,0.008494178233579786,219.66666666666666,-0.6323465720358659
12,9,0.013170054228829593,0.36797629830452183,100,125,75,1.9999258030698044,0.5788440571950852,20,0.6363600033071002,0.47709073397992885,2019,0.6396415304415141,0.007054572927054056,0.6311939258604681,0.6469583379025753,0.0073168074610612255,99.66666666666667,-0.6324558402474564
17,8,0.009063359181769242,0.6637307325278556,70,250,80,6.485796948492024,30.36234481497176,20,0.43763284167353883,0.581752703324878,2019,0.6412422726384811,0.009594775530741345,0.6300258822368763,0.644103676389428,0.0028614037509469004,281.0,-0.635014182997637
12,7,0.00655290435890204,0.6798061556216587,50,600,85,18.531075368602533,2.797735232555207,20,0.5930439587248609,0.384911226380002,2019,0.6373672463217005,0.009531200415382692,0.6273358413118276,0.6345065657220293,-0.0028606805996711504,454.6666666666667,-0.6326016461140092
7,9,0.009553574569698376,0.36823003828294726,70,275,60,0.7204425859757757,17.073317033806653,20,0.7328711390610301,0.5620425001342106,2019,0.6404503056375711,0.007916419024356735,0.6314710510897676,0.6437635274726051,0.0033132218350340192,454.3333333333333,-0.6348354852078757
19,10,0.013388406607299112,0.42591507748738683,100,100,100,10.920781097110975,3.054571919606649,20,0.17461389714852077,0.9988206464793721,2019,0.6387032452269721,0.009533548401815998,0.6288554319601567,0.6379003512792778,-0.0008028939476942831,225.0,-0.6339364710260641
2,7,0.00601820522907837,0.29537272712322765,50,200,80,0.10942196844723995,16.697932923029953,20,0.43553048400042926,0.7254714449324633,2019,0.6252520276008322,0.0036038125503306175,0.6204038283140739,0.6184758669802166,-0.00677616062061559,103.0,-0.6234501213256669
24,10,0.01056771587577066,0.6519308319946797,90,625,70,38.55586103514511,30.591795616804603,20,0.432632553303159,0.3364586257965305,2019,0.6344825094005985,0.011509504748188256,0.6207269785885869,0.6305998071188216,-0.0038827022817768952,546.3333333333334,-0.6287277570265043
21,12,0.008237812762871333,0.11007743909115272,10,25,25,4.03109708729344,49.164071373407715,20,0.20101106859355988,0.4414305475596187,2019,0.563559505130571,0.033129861808594306,0.5334246789946331,0.5601998986044608,-0.003359606526110115,85.66666666666667,-0.5469945742262738
13,4,0.012434638482887849,0.32993040663712525,70,300,60,18.319330228205768,20.373112752254904,20,0.5434143939599332,0.6237662566594073,2019,0.6344274210742391,0.008492639066426978,0.624104259516047,0.6331214921423641,-0.0013059289318749778,123.0,-0.6301811015410256
16,8,0.0073625912879106605,0.193727879392598,10,75,75,8.139797514976607,3.420516142407868,20,0.3972425339443769,0.9942250505961674,2019,0.6350522286821122,0.008415682003992559,0.6243288072795742,0.6314169847773904,-0.0036352439047218077,105.66666666666667,-0.630844387680116
19,11,0.009434550663014844,0.7406447266509057,90,1000,60,2.9657514351828045,28.542071301890772,20,0.7610754935062447,0.5110707609427829,2019,0.6365532780702684,0.00960825116134577,0.6267168220205178,0.6396790912062111,0.0031258131359427344,195.33333333333334,-0.6301862459216242
13,3,0.008927808146564634,0.434648371815416,40,325,50,6.87077799375391,44.20200208948495,20,0.4856074990181337,0.1524173411401828,2019,0.5500321825762463,0.07075619115445433,0.5,0.5462368106950377,-0.003795371881208598,348.6666666666667,-0.5146540869990192
4,8,0.008489368822348922,0.6151588554459164,80,200,25,13.330269467421608,14.978055421946948,20,0.10017510195390755,0.7496682737159058,2019,0.6263861745827072,0.007494786884046827,0.6167748413330484,0.622028524779077,-0.004357649803630181,123.66666666666667,-0.6226387811406837
7,4,0.007658255638126613,0.453260052518123,60,250,100,19.727610760181634,5.299584465009293,20,0.390932815617441,0.22915115829067156,2019,0.6361632389011779,0.005655224110083307,0.6309948851067311,0.6305415774264151,-0.005621661474762729,120.33333333333333,-0.6333356268461362
11,2,0.013732061672980569,0.23581726199434228,50,650,90,26.593557684441873,20.40725541939739,20,0.5941202580413466,0.3098915437533927,2019,0.6017874849691458,0.05528792479963806,0.523885593120893,0.5965930173853738,-0.005194467583771956,409.6666666666667,-0.5741435225693268
20,6,0.0060329617641653125,0.9092876758700044,60,125,55,12.169434458925814,0.11923392247151421,20,0.1716957402222235,0.41432860370118607,2019,0.6230695202176294,0.024088405716786783,0.5930068843630225,0.6216162744615777,-0.0014532457560516576,309.0,-0.611025317359236
17,9,0.01073400199700249,0.15818979401957234,40,200,30,7.6417675703317505,8.610343099743815,20,0.8655933039268304,0.6742449420855655,2019,0.6372251930445184,0.008168062739498992,0.6267751262667252,0.637275084304964,4.9891260445633634e-05,79.0,-0.6331162160445462
24,7,0.012266282626902955,0.7344877358862332,80,550,70,0.6825526362236988,26.5819014064333,20,0.48042345869775516,0.819594289279977,2019,0.6376788376032261,0.006467147561871624,0.6311291833779741,0.6417231650214279,0.004044327418201821,114.66666666666667,-0.6324231001131894
15,5,0.009988770034613004,0.3311501411448676,70,400,40,16.022922169391947,5.5690265708863205,20,0.700350753728427,0.5960067292989519,2019,0.6390850333062738,0.01039936663312083,0.6290015526953039,0.6388408272310326,-0.0002442060752411157,491.6666666666667,-0.6338853499897134
